sys.exec.out.time {s},time {s},altitude {m},latitude {r},longitude {r},seat_accel_x {m/s2},seat_accel_y {m/s2},seat_accel_z {m/s2}
0,0.01,49.29984991,0.4985046079,-1.406339805,-1.74E-06,1.51E-05,-9.36E-06
0.1,0.11,49.59124917,0.4985046078,-1.406339805,545.6305646,-0.4048647023,-198.3127007
0.2,0.21,49.91320608,0.4985046077,-1.406339805,515.0813907,-0.3839809355,-187.2124385
0.3,0.31,50.26579952,0.4985046076,-1.406339805,484.5320755,-0.3647860978,-176.1122534
0.4,0.41,50.64902349,0.4985046075,-1.406339805,453.9821299,-0.3440860532,-165.0135097
0.5,0.51,51.06290648,0.4985046073,-1.406339805,427.0850097,-1.109507488,-155.0964373
0.6,0.61,51.55236025,0.4985046018,-1.406339803,39.61412143,-0.1606806209,-15.23836699
0.7,0.71,52.32664844,0.498504593,-1.4063398,37.29628536,0.09500013728,-12.36161312
0.8,0.81,53.40383555,0.4985045841,-1.406339796,38.48863217,0.5088228723,-13.56460225
0.9,0.91,54.79284382,0.4985045752,-1.406339792,40.24599423,0.4978929771,-15.42528065
1,1.01,56.5086072,0.4985045658,-1.406339788,40.6569428,0.3039286281,-15.88949336
1.1,1.11,58.55755188,0.4985045557,-1.406339783,40.57927604,0.06495429875,-15.70613863
1.2,1.21,60.93450583,0.4985045446,-1.406339778,37.63126422,-0.9988326254,-13.22813223
1.3,1.31,63.62932777,0.4985045323,-1.406339772,39.91373881,-0.7617554112,-15.28686937
1.4,1.41,66.65644713,0.4985045188,-1.406339764,40.53831592,-0.2757612987,-15.87096333
1.5,1.51,70.01928156,0.4985045043,-1.406339755,40.43587219,0.1627803772,-15.80186881
1.6,1.61,73.71329716,0.4985044891,-1.406339742,40.05092162,0.3844611451,-15.44260313
1.7,1.71,77.73214387,0.4985044737,-1.406339725,39.54608065,0.3508309297,-14.95105127
1.8,1.81,82.07101714,0.4985044588,-1.406339703,39.16958232,0.1163698265,-14.58033341
1.9,1.91,86.72796858,0.4985044452,-1.406339676,39.05106802,-0.2331531196,-14.53466395
2,2.01,91.70424344,0.4985044337,-1.406339643,39.2170133,-0.4899170535,-14.74146668
2.1,2.11,97.00288915,0.4985044247,-1.406339603,39.3090921,-0.541497975,-14.94307834
2.2,2.21,102.6237517,0.4985044188,-1.406339556,39.19782884,-0.2843723601,-14.95425024
2.3,2.31,108.5638585,0.4985044161,-1.406339501,39.40569864,-0.1824605963,-15.15939204
2.4,2.41,114.8232223,0.4985044168,-1.406339439,39.5333082,-0.2658142759,-15.31581938
2.5,2.51,121.4032069,0.4985044209,-1.406339367,39.65801009,-0.4764834939,-15.37910838
2.6,2.61,128.305563,0.4985044283,-1.406339288,39.68153279,-0.6620142511,-15.34447281
2.7,2.71,135.5315308,0.4985044392,-1.406339199,39.57850956,-0.8598260399,-15.31258071
2.8,2.81,143.0810043,0.4985044535,-1.406339101,39.48445206,-0.8559515548,-15.1331247
2.9,2.91,150.9526706,0.4985044713,-1.406338995,39.33124995,-0.836817587,-14.9978434
3,3.01,159.1445336,0.4985044927,-1.406338879,39.19520581,-0.9288967856,-15.08537291
3.1,3.11,167.6547893,0.498504518,-1.406338754,39.15040806,-0.8521791954,-15.02679386
3.2,3.21,176.4823248,0.4985045471,-1.406338619,39.03259356,-0.829253953,-15.06259867
3.3,3.31,185.6258505,0.4985045803,-1.406338474,38.93194962,-0.7458127816,-14.96237274
3.4,3.41,195.0836059,0.4985046175,-1.406338319,38.77815329,-0.7767644053,-14.92507431
3.5,3.51,204.8537376,0.4985046588,-1.406338154,38.51610151,-0.9460864959,-15.0532196
3.6,3.61,214.9345976,0.4985047046,-1.406337979,38.42595357,-1.093009104,-15.1925319
3.7,3.71,225.3252592,0.498504755,-1.406337794,38.35316187,-1.003877195,-15.09360253
3.8,3.81,236.0250679,0.4985048101,-1.406337598,38.18593356,-0.8769907404,-15.19873233
3.9,3.91,247.0328771,0.4985048701,-1.406337393,38.03311347,-0.6397820733,-15.04983158
4,4.01,258.346909,0.498504935,-1.406337177,37.83902273,-0.4264455744,-14.99729936
4.1,4.11,269.9649487,0.4985050048,-1.406336952,37.65922265,-0.3795168257,-14.94043576
4.2,4.21,281.8848561,0.4985050797,-1.406336717,37.60927381,-0.2554505806,-14.85349649
4.3,4.31,294.1058688,0.4985051596,-1.406336472,37.53788492,-0.2843949985,-14.88811521
4.4,4.41,306.6273592,0.4985052444,-1.406336217,37.62588924,-0.57750015,-14.63691269
4.5,4.51,319.4487627,0.4985053341,-1.406335952,37.6135831,-0.5693438799,-14.60060667
4.6,4.61,332.5703956,0.4985054284,-1.406335677,37.53435391,-0.6982610022,-14.71707782
4.7,4.71,345.9922232,0.4985055277,-1.406335392,37.50217279,-0.8514437147,-14.5644906
4.8,4.81,359.7129603,0.4985056316,-1.406335096,37.61256636,-0.9480545744,-14.35223125
4.9,4.91,373.7318832,0.49850574,-1.406334789,37.46067032,-1.105784878,-14.48198673
5,5.01,388.0485284,0.4985058531,-1.406334471,36.97090038,-1.128316349,-14.72765747
5.1,5.11,402.6596624,0.4985059712,-1.406334142,36.45517753,-0.8008811898,-14.49263198
5.2,5.21,417.5595107,0.4985060944,-1.406333803,35.81028715,-0.4082603437,-13.89153411
5.3,5.31,432.7400057,0.4985062222,-1.406333454,35.08821295,-0.1950230043,-13.83041765
5.4,5.41,448.1934081,0.498506355,-1.406333095,34.5184253,-0.2458821875,-13.68265188
5.5,5.51,463.9130872,0.4985064927,-1.406332727,34.06920019,-0.4118959436,-13.27777726
5.6,5.61,479.8937446,0.4985066352,-1.406332348,33.45730173,-0.3972847903,-13.32757814
5.7,5.71,496.1307249,0.4985067825,-1.40633196,32.85692436,-0.4990642014,-12.90889308
5.8,5.81,512.6177037,0.4985069346,-1.406331563,32.06618379,-0.1782290069,-12.78917447
5.9,5.91,529.3478398,0.4985070914,-1.406331157,31.39756416,-0.1330751524,-12.44803213
6,6.01,546.3128857,0.4985072533,-1.406330743,30.54174826,0.1855185741,-12.62111144
6.1,6.11,563.505391,0.4985074204,-1.406330321,29.95563353,0.1176599431,-12.26101624
